YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2013,40,4881,0,0,13,69,83,28,1,3.97459536980127
2013,41,5770,0,0,24,57,116,32,0,3.96880415944541
2013,42,5786,0,0,16,49,94,26,0,3.19737296923609
2013,43,5859,0,0,18,73,100,14,0,3.49889059566479
2013,44,6280,0,0,26,88,136,43,0,4.6656050955414
2013,45,6876,0,0,29,157,171,43,0,5.8173356602676
2013,46,7159,0,0,21,272,188,37,0,7.23564743679285
2013,47,7801,0,0,22,425,210,57,0,9.15267273426484
2013,48,7295,0,0,29,483,330,41,0,12.1041809458533
2013,49,10114,0,0,34,1021,726,69,0,18.2914771603718
2013,50,10789,0,0,56,1324,815,52,0,20.826768004449
2013,51,13937,0,0,51,2231,1600,67,0,28.3346487766377
2013,52,15677,0,0,47,3004,1741,93,0,31.1602985265038
2014,1,17684,0,0,84,3474,1536,88,0,29.3033250395838
2014,2,18159,0,0,106,3540,1311,91,0,27.7988876039429
2014,3,17397,0,0,126,3254,1156,131,0,26.826464332931
2014,4,16388,0,0,132,2632,1036,185,0,24.31657310227
2014,5,14550,0,0,93,1931,775,174,0,20.4329896907216
2014,6,12936,0,0,130,1567,557,218,0,19.1094619666048
2014,7,11632,0,0,102,1128,486,227,0,16.7039202200825
2014,8,11072,0,0,93,836,337,248,0,13.6741329479769
2014,9,10188,0,0,102,575,261,273,0,11.8865331762858
2014,10,9406,0,0,102,410,207,300,0,10.8335105251967
2014,11,8874,0,0,138,347,163,334,0,11.0660356096462
2014,12,8172,0,0,164,209,190,464,0,12.5673029858052
2014,13,7874,0,0,184,155,188,525,0,13.3604267208534
2014,14,7504,0,0,236,112,145,595,0,14.498933901919
2014,15,7157,0,0,225,54,168,624,0,14.9643705463183
2014,16,6620,0,0,224,30,138,516,0,13.7160120845921
2014,17,6302,0,0,191,29,129,469,0,12.9800063471914
2014,18,5847,0,0,151,13,131,447,0,12.6902685137677
2014,19,5422,0,0,130,7,104,354,0,10.9738104020657
2014,20,5304,0,0,119,6,102,322,0,10.3506787330317
2014,21,4820,0,0,104,1,62,235,0,8.3402489626556
2014,22,4748,0,0,115,3,80,225,0,8.90901432181971
2014,23,4291,0,0,96,3,51,160,0,7.22442321137264
2014,24,4117,0,0,102,3,49,140,0,7.141122176342
2014,25,3861,0,0,69,3,43,113,0,5.90520590520591
2014,26,3427,0,0,45,1,28,100,0,5.07732710825795
2014,27,3127,0,0,47,2,26,83,0,5.05276622961305
2014,28,3044,0,0,55,3,29,65,0,4.9934296977661
2014,29,3162,0,0,41,0,19,60,0,3.79506641366224
2014,30,3105,0,0,37,2,28,50,0,3.76811594202899
2014,31,2918,0,0,53,2,25,27,0,3.66689513365319
2014,32,2940,0,0,43,5,15,23,1,2.95918367346939
2014,33,3247,0,0,54,1,21,36,0,3.44933785032338
2014,34,3309,0,0,44,3,19,40,1,3.23360531882744
2014,35,3915,0,0,59,6,28,40,0,3.39719029374202
2014,36,4147,0,0,42,7,33,29,0,2.67663371111647
2014,37,5042,0,0,39,0,32,23,0,1.86433954779849
2014,38,5038,0,0,33,0,31,45,0,2.16355696705042
2014,39,3782,0,0,11,0,47,38,0,2.53833950290851
